SKU,CATEGORY,Producer_Name,Product_Name,Vintage,Volume_Amount,Volume_Unit,Pack_Size,Sleeve_Size,Container,FOB,FOB_SS,FOB_CD,FOB_XC,Country,Region/State,Appelation,Grapes,ABV,Keg Coupler,UPC/EAN,COLA,Weight,Cases_Per_Layer,Cases_Per_Pallet,Notes,Status,Score
ZRS-0911-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Chateau de Beru Chablis White 48pk can,NV,200,ml,48.0,,,192,,,,FRANCE,,,chardonnay,,,,,,,,,,
ZRS-0913-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Jean Pierre Robinot VDF Sparkling 48pk can,NV,200,ml,48.0,,,180,,,,FRANCE,,,chenin blanc,,,,,,,,,,
ZRS-0912-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Jean Pierre Robinot VDF White 48pk can,NV,200,ml,48.0,,,180,,,,FRANCE,,,chenin blanc,,,,,,,,,,
ZRS-1424-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Fabien Jouves Skin Contact VDF White 48pk (can),NV,200,ml,48.0,,,156,,,,FRANCE,,,"gros manseng, ugni blanc, muscat d'alexandrie",,,,,,,,,,
ZRS-0915-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Benjamin Taillandier VDF White 48pk can,NV,200,ml,48.0,,,156,,,,FRANCE,,,skin-contact muscat petit grain,,,,,,,,,,
ZRS-1515-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Les Tetes VDF Red 48pk (can),NV,200,ml,48.0,,,156,,,,FRANCE,,,"chenin blanc, grolleau, syrah, duras, merlot",,,,,,,,,,
ZRS-1423-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,La Roche Buissiere VDF Red 48pk (can),NV,200,ml,48.0,,,192,,,,FRANCE,,,"grenache, syrah",,,,,,,,,,
ZRS-0914-NV48,,FAMILLE DU VIN 🌱 - ZRS canned wine project!,Jean Baptsite et Charlotte Senat VDF Red 48pk can,NV,200,ml,48.0,,,156,,,,FRANCE,,,"grenache noir, grenache gris, grenache blanc",,,,,,,,,,
ZRS-1286-23,,CLOS DE BERNARDI 🌱,“Blanc de Blancs” Patrimonio White,2023,750,ml,12.0,,,168,,,,FRANCE,,,vermentino,,,,,,,,,,
ZRS-1287-22,,CLOS DE BERNARDI 🌱,"""Crème de Tête"" Patrimonio Red",2022,750,ml,12.0,,,168,,,,FRANCE,,,nielluciu,,,,,,,,,,
ZRS-0605-22,,MAS GUALLAR (Camila Opazo) 🌱,"""MielNat'"" VDF Piquette",2022,750,ml,6.0,,,72,,,,FRANCE,,,"muscat petit grain pommace, honey, h2o",,,,,,,,,,
ZRS-0602-22,,MAS GUALLAR (Camila Opazo) 🌱,"""Chorifly Magico"" VDF White",2022,750,ml,6.0,,,99,,,,FRANCE,,,"muscat d'alexandrie, direct press carignan",,,,,,,,,,
ZRS-0601-22,,MAS GUALLAR (Camila Opazo) 🌱,"""Oxymoron!"" VDF White",2022,750,ml,6.0,,,99,,,,FRANCE,,,muscat petit grain,,,,,,,,,,
ZRS-0603-22,,MAS GUALLAR (Camila Opazo) 🌱,"""Oaristys"" VDF Red",2022,750,ml,6.0,,,105,,,,FRANCE,,,"syrah, muscat petit grain",,,,,,,,,,
ZRS-0606-21,,MAS GUALLAR (Camila Opazo) 🌱,"""Gratalloups"" Banyuls Red",2021,750,ml,6.0,,,138,,,,FRANCE,,,syrah,,,,,,,,,,
ZRS-0607-20,,MAS GUALLAR (Camila Opazo) 🌱,"""Magic Mountain"" Banyuls Red",2020,750,ml,6.0,,,138,,,,FRANCE,,,mourvèdre,,,,,,,,,,
ZRS-0604-NV,,MAS GUALLAR (Camila Opazo) 🌱,Vermut VDF Vermouth,NV,750,ml,6.0,,,96,,,,FRANCE,,,"grenache, carignan, cinchona, rosemary, thyme, rose, lemon, eucalyptus, wormwood",,,,,,,,,,
ZRS-0608-20,,MAS GUALLAR (Camila Opazo) 🌱,"""La Foun del Bosc"" Maury Red",2020,750,ml,6.0,,,138,,,,FRANCE,,,carignan,,,,,,,,,,
ZRS-0404-23,,LEAH ANGLES 🌱,"""Opa"" Collioure Red",2023,750,ml,6.0,,,114,,,,FRANCE,,,"grenache, syrah",,,,,,,,,,
ZRS-0516-23,,LEAH ANGLES 🌱,"""Divay"" Coillure Red",2023,750,ml,6.0,,,129,,,,FRANCE,,,grenache,,,,,,,,,,
ZRS-0403-23,,LEAH ANGLES 🌱,"""L`elephant Blanc"" Collioure Red",2023,750,ml,6.0,,,147,,,,FRANCE,,,grenache,,,,,,,,,,
ZRS-0405-23,,LEAH ANGLES 🌱,"""Pilgrim"" Collioure Red",2023,750,ml,6.0,,,147,,,,FRANCE,,,carignan,,,,,,,,,,
ZRS22-0481-20,,NENU (Rasmus Aamand Olesen) 🌱,"""La Fleur d`Un Coeur de Beurre"" Collioure Red 6pk",2020,750,ml,6.0,,,102,,,,FRANCE,,,"grenache noir, mourvèdre, syrah",,,,,,,,,,
ZRS22-0482-NV,,NENU (Rasmus Aamand Olesen) 🌱,"""MM"" Collioure Red 6pk","18,19,20",750,ml,6.0,,,120,,,,FRANCE,,,"grenache noir, mourvèdre",,,,,,,,,,
ZRS22-0483-20,,NENU (Rasmus Aamand Olesen) 🌱,"""La Cuvée de Claude"" Collioure Red 6pk",2020,750,ml,6.0,,,144,,,,FRANCE,,,"grenache noir, mourvèdre",,,,,,,,,,
ZRS-1440-24,,YOYO 🌱🐂 - new to portfolio!,"""Restake"" VDF White",2024,750,ml,6.0,,,168,,,,FRANCE,,,grenache gris,,,,,,,,,,
ZRS-1020-24,,YOYO 🌱🐂 - new to portfolio!,"""Akoibon"" VDF Red",2024,750,ml,6.0,,,159,,,,FRANCE,,,"grenache, mourvèdre",,,,,,,,,,
ZRS-1442-24,,YOYO 🌱🐂 - new to portfolio!,"""El Teu Mar"" VDF Red",2024,750,ml,6.0,,,168,,,,FRANCE,,,"grenache blanc, gris & rouge + carignan blanc, gris, & rouge",,,,,,,,,,
ZRS-1021-24,,YOYO 🌱🐂 - new to portfolio!,"""La Tranchee"" VDF Red",2024,750,ml,6.0,,,171,,,,FRANCE,,,grenache,,,,,,,,,,
ZRS-1441-24,,YOYO 🌱🐂 - new to portfolio!,"""KM31"" VDF Red",2024,750,ml,6.0,,,171,,,,FRANCE,,,"grenache, carignan",,,,,,,,,,
ZRS-1443-24,,YOYO 🌱🐂 - new to portfolio!,"""Caldera"" VDF Red",2024,750,ml,6.0,,,195,,,,FRANCE,,,,,,,,,,,,,
ZRS-0989-24,,LES FOULARDS ROUGES 🌱🐂 - new to portfolio!,"""La Soif Du Mal"" VDF White",2024,750,ml,12.0,,,174,,,,FRANCE,,,"macabeo, grenache blanc, muscat",,,,,,,,,,
ZRS-0988-24,,LES FOULARDS ROUGES 🌱🐂 - new to portfolio!,"""La Soif Du Mal"" VDF Rosé",2024,750,ml,12.0,,,174,,,,FRANCE,,,"syrah, carignan",,,,,,,,,,
ZRS-0939-24,,LES FOULARDS ROUGES 🌱🐂 - new to portfolio!,"""La Soif Du Mal"" VDF Red",2024,750,ml,12.0,,,204,,,,FRANCE,,,"grenache, mourvèdre",,,,,,,,,,
ZRS-0990-24,,LES FOULARDS ROUGES 🌱🐂 - new to portfolio!,"""Le Fond de L`Air Est Rouge"" VDF Red",2024,750,ml,12.0,,,168,,,,FRANCE,,,cinsault,,,,,,,,,,
ZRS-0993-24,,LES FOULARDS ROUGES 🌱🐂 - new to portfolio!,"""Terre de Feu"" VDF Red",2024,750,ml,12.0,,,138,,,,FRANCE,,,"grenache, carignan, mourvèdre",,,,,,,,,,
ZRS-0544-23,,"DOMAINE MATIN CALME (Veronique Soyloy & Anthony Guix, Millas) 🌱 - new vintages!","""Ose"" VDF Blanc",2023,750,ml,12.0,,,186,,,,FRANCE,,,"g. blanc/gris, m. blanc à petit grains, carignan blanc, macabeu",,,,,,,,,,
ZRS-0542-23,,"DOMAINE MATIN CALME (Veronique Soyloy & Anthony Guix, Millas) 🌱 - new vintages!","""Mano & Mano"" VDF Rouge",2022,750,ml,12.0,,,156,,,,FRANCE,,,"grenache, carignan",,,,,,,,,,
ZRS-0543-23,,"DOMAINE MATIN CALME (Veronique Soyloy & Anthony Guix, Millas) 🌱 - new vintages!","""Bonica Marieta"" VDF Rouge",2023,750,ml,12.0,,,168,,,,FRANCE,,,"carignan, grenache",,,,,,,,,,
ZRS-0543-22,,"DOMAINE MATIN CALME (Veronique Soyloy & Anthony Guix, Millas) 🌱 - new vintages!","""Bonica Marieta"" VDF Rouge",2022,750,ml,12.0,,,168,,,,FRANCE,,,"carignan, grenache",,,,,,,,,,
ZRS-1044-23,,"DOMAINE MATIN CALME (Veronique Soyloy & Anthony Guix, Millas) 🌱 - new vintages!",Libre VDF Red,2023,750,ml,12.0,,,156,,,,FRANCE,,,"grenache, syrah, muscat petit grains, grenache gris, macabeu, chardonnay",,,,,,,,,,
11-024-04-15,,"DOMAINE MATIN CALME (Veronique Soyloy & Anthony Guix, Millas) 🌱 - new vintages!","""Sans Temps"" VDF Rouge",2015,750,ml,12.0,,,192,,,,FRANCE,,,carignan,,,,,,,,,,
ZRS-1188-23,,LES ARABESQUES (Saskia van der Horst) 🐂 - last vintage!,"""Chloris"" VDF White",2023,750,ml,12.0,,,180,,,,FRANCE,,,sauvignon blanc,,,,,,,,,,
ZRS-1186-23,,LES ARABESQUES (Saskia van der Horst) 🐂 - last vintage!,"""Ocarina"" VDF Rosé",2023,750,ml,12.0,,,168,,,,FRANCE,,,"cinsault, grenache, syrah, carignan",,,,,,,,,,
ZRS-1185-23,,LES ARABESQUES (Saskia van der Horst) 🐂 - last vintage!,"""Chopine"" VDF Rouge",2023,750,ml,12.0,,,156,,,,FRANCE,,,carignan,,,,,,,,,,
ZRS-1187-23,,LES ARABESQUES (Saskia van der Horst) 🐂 - last vintage!,"""Lou Pal"" VDF Rouge",2023,750,ml,12.0,,,168,,,,FRANCE,,,syrah,,,,,,,,,,
ZRS-1059-23,,JOSETTE Y MICHEL  (Philippe Essome - Fifi) 🌱,"""Ou Tu Voudras, Quand Tu Voudras"" VDF Rose",2023,750,ml,6.0,,,63,,,,FRANCE,,,syrah,,,,,,,,,,
ZRS-1061-23,,JOSETTE Y MICHEL  (Philippe Essome - Fifi) 🌱,"""Tostaky"" VDF Red",2023,750,ml,6.0,,,72,,,,FRANCE,,,"grenache, syrah",,,,,,,,,,
ZRS-1056-23,,JOSETTE Y MICHEL  (Philippe Essome - Fifi) 🌱,"""Le Dire C`est Bien, Le Fer C`est Mieux"" VDF Red",2023,750,ml,6.0,,,75,,,,FRANCE,,,fer servadou,,,,,,,,,,
ZRS-1060-23,,JOSETTE Y MICHEL  (Philippe Essome - Fifi) 🌱,"""So You`re Sicilian"" VDF Red",2023,750,ml,6.0,,,72,,,,FRANCE,,,"gamay, fer servadou",,,,,,,,,,
ZRS-1057-22,,JOSETTE Y MICHEL  (Philippe Essome - Fifi) 🌱,"""Les Coudes sur La Table"" VDF Red",2022,750,ml,6.0,,,93,,,,FRANCE,,,gamay,,,,,,,,,,
ZRS-1207-23,,DOMAINE BALANSA 🐂,"""Holograppe"" VDF Sparkling",2023,750,ml,12.0,,,222,,,,FRANCE,,,"carignan blanc, carignan gris",,,,,,,,,,
ZRS-0033-23,,DOMAINE BALANSA 🐂,"""Aragon"" VDF Blanc",2023,750,ml,12.0,,,186,,,,FRANCE,,,"muscat blanc à petit grains, muscat d’alexandrie",,,,,,,,,,
ZRS-0771-23,,DOMAINE BALANSA 🐂,"""Sabari"" VDF White",2023,750,ml,12.0,,,210,,,,FRANCE,,,"rolle (vermentino), xarel-lo",,,,,,,,,,
ZRS-0771-22,,DOMAINE BALANSA 🐂,"""Sabari"" VDF White",2022,750,ml,12.0,,,210,,,,FRANCE,,,rolle (vermentino),,,,,,,,,,
ZRS-0036-23,,DOMAINE BALANSA 🐂,"""Coume de Maliès"" Vallée du Paradis White",2023,750,ml,12.0,,,156,,,,FRANCE,,,"grenache blanc/gris, vermentino, carignan blanc/gris, terret",,,,,,,,,,
ZRS-0038-23,,DOMAINE BALANSA 🐂,"""Pech de Rozies"" Vallée du Paradis Rosé",2023,750,ml,12.0,,,144,,,,FRANCE,,,"syrah, grenache noir",,,,,,,,,,
ZRS-0037-23,,DOMAINE BALANSA 🐂,"""La Vinhota"" VDF Rouge",2023,750,ml,12.0,,,144,,,,FRANCE,,,"lledoner pelut, grenache noir",,,,,,,,,,
ZRS-0034-23,,DOMAINE BALANSA 🐂,"""Bel Soula"" Fitou AOC Rouge",2023,750,ml,12.0,,,156,,,,FRANCE,,,"carignan, grenache noir, syrah",,,,,,,,,,
ZRS-0035-22,,DOMAINE BALANSA 🐂,"""Can del Rey"" Fitou AOC Rouge",2022,750,ml,12.0,,,186,,,,FRANCE,,,"carignan, grenache noir, syrah",,,,,,,,,,
ZRS-0039-23,,DOMAINE BALANSA 🐂,"""Versicolore"" VDF Rouge",2023,750,ml,12.0,,,228,,,,FRANCE,,,carignan,,,,,,,,,,
ZRS-0940-23,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""Aux Amis de ma Soeur"" Aude Blanc",2023,750,ml,12.0,,,168,,,,FRANCE,,,"grenache blanc, grenache gris",,,,,,,,,,
ZRS-0249-23,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""Amalgame"" Minervois Red",2023,750,ml,12.0,,,138,,,,FRANCE,,,"grenache noir, grenache gris, picpoul noir, counoise, terret noir",,,,,,,,,,
ZRS22-0391-21,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""Arbalète and Coquelicots"" VDF Rouge",2021,750,ml,12.0,,,120,,,,FRANCE,,,"carignan, mourvèdre, grenache",,,,,,,,,,
ZRS-0248-22,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""Arbalète and Coquelicots"" VDF Rouge",2022,750,ml,12.0,,,120,,,,FRANCE,,,"carignan, mourvèdre, grenache",,,,,,,,,,
ZRS-0246-22,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""Hors Champs"" VDF Rouge",2022,750,ml,12.0,,,120,,,,FRANCE,,,"grenache, carignan",,,,,,,,,,
ZRS-0247-23,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""La Nine"" Minervois Rouge",2023,750,ml,12.0,,,162,,,,FRANCE,,,"carignan, grenache, cinsault, syrah, mourvèdre",,,,,,,,,,
16-0532-16,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""Le Bois des Merveilles"" Minervois Rouge",2016,750,ml,12.0,,,246,,,,FRANCE,,,"grenache, carignan, mourvèdre",,,,,,,,,,
11-049-03-19,,DOMAINE CHARLOTTE & JEAN BAPTISTE SENAT (Caunes-Minervois) 🌱,"""l`Enclos de l`Âne"" Minervois Rouge",2019,750,ml,12.0,,,366,,,,FRANCE,,,grenache,,,,,,,,,,
